0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,% Asian-alone,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,CI90LBINC_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total Hospitals (2019),Percent of Population Aged 60+,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code,age_60_80
11.56773212,14.29731101,13.99289701,10.96905124,10.3805175,13.49568747,5.083713851,94.08422121,0.456621005,788.0,10.9,10.6,0.3,0.2,44098.0,48179.0,88.5,0.196248987,23.8,8.5,7.8,9.4,10.0,8.7,11.2,12.1,13.0,3.2,3.0,3.5,5.0,20.2130898
11.47571723,11.54134633,8.44271517,10.19126195,10.18188637,14.80873805,5.550346897,94.07931746,0.614100881,154.0,9.8,9.2,0.6,0.3,52401.0,55687.0,79.2,0.482815465,32.9,8.5,7.5,9.4,6.8,5.6,8.0,11.7,12.8,3.4,3.2,3.7,6.0,27.807988
10.01885903,12.15228666,10.36067893,10.45497407,11.49222065,14.00282885,5.964167845,88.51956624,0.55398397,94.0,8.9,11.5,-2.6,-0.1,35223.0,39502.0,73.3,0.091510283,29.6,11.1,10.0,12.3,12.0,10.4,13.9,14.8,16.0,4.0,3.7,4.4,6.0,25.553983969999997
11.08378816,12.05691837,13.74377736,14.04666227,13.23996881,13.27295628,4.004978108,93.04714209,0.401847298,7019.0,10.2,11.8,-1.6,-0.1,42267.0,45584.0,83.8,1.328080919,22.1,8.3,7.5,9.1,10.1,8.8,11.5,11.9,12.8,3.1,2.9,3.4,5.0,18.55095064
9.185027874,11.9458455,13.27316167,12.21130873,12.21130873,10.48579772,7.194053624,93.84125299,0.424741173,334.0,9.0,9.0,0.0,10.9,38327.0,43192.0,71.2,0.068641615,23.5,11.6,10.8,12.6,9.9,8.8,11.1,18.8,19.9,4.7,4.4,5.0,6.0,23.49349615
10.82269985,12.44319376,11.57149095,11.07499232,11.22539744,14.70412239,5.257710284,96.16386072,0.577361603,1400.0,9.7,10.6,-0.8,0.2,49165.0,53168.0,78.6,0.525236323,25.9,9.0,8.1,10.1,9.8,8.2,11.4,11.3,12.4,3.3,3.1,3.6,3.0,22.900392991
12.93848814,12.95083992,11.8916749,12.1819417,12.42588933,13.3090415,3.751852767,96.84412055,0.339673913,325.0,12.0,12.0,0.0,0.4,40841.0,44726.0,79.6,0.537450462,22.1,9.3,8.4,10.3,11.5,9.9,13.2,14.7,15.8,3.5,3.2,3.7,5.0,20.550271744
12.88963774,9.140690817,8.298230834,9.224936816,9.435551811,13.52148273,8.340353833,95.53496209,0.168491997,24.0,12.6,8.4,4.2,1.7,37075.0,41295.0,63.3,0.121811343,36.7,10.7,9.6,11.9,8.6,7.2,10.1,13.7,15.0,3.9,3.6,4.2,6.0,29.14911542
11.13464201,11.68037794,11.48489045,10.26309359,10.87399202,14.2868779,5.563248351,51.63313513,0.211778122,45.0,10.2,14.8,-4.6,0.1,29644.0,32613.0,65.4,0.253684477,28.0,11.7,10.9,12.6,12.7,11.5,14.0,20.5,21.6,4.8,4.5,5.1,6.0,24.71287774
8.157932937,9.769197271,7.824067354,8.883727682,9.420815793,14.39976775,7.170852083,88.96791987,0.958049064,165.0,6.8,14.3,-7.5,0.0,34033.0,38242.0,53.2,0.107648865,39.5,9.7,8.9,10.5,8.2,7.0,9.4,13.5,14.3,4.2,4.0,4.5,6.0,34.37363913
